fecha,titulo,autor(a),categoria,periodico,enlace
2023-05-09 20:31:00,"Trump califica de ""vergüenza"" veredicto en su contra",EFE,Estados-Unidos,Noticel,https://www.noticel.com/estados-unidos/mundo/20230509/trump-califica-de-verguenza-veredicto-en-su-contra/
2023-05-09 20:19:00,Motociclista fallece en accidente en Toa Alta,NotiCel,La-Calle,Noticel,https://www.noticel.com/la-calle/policiacas/20230509/motociclista-fallece-en-accidente-en-toa-alta/
2023-05-09 20:08:00,Familia prefiere el estatuto actual sobre medida para que padres intervengan en aborto de una menor,Naysha Zamira Padró,Ahora,Noticel,https://www.noticel.com/ahora/legislatura/20230509/familia-prefiere-el-estatuto-actual-sobre-medida-para-que-padres-intervengan-en-aborto-de-una-menor/
2023-05-09 17:52:00,"Jurado condena a Trump por abuso sexual y difamación, pero no por violación",EFE,Estados-Unidos,Noticel,https://www.noticel.com/estados-unidos/mundo/top-stories/20230509/jurado-condena-a-trump-por-abuso-sexual-y-difamacion-pero-no-por-violacion/
2023-05-09 17:23:00,A prisión la mujer que disparó frente a negocio de la Calle Loíza,NotiCel,La-Calle,Noticel,https://www.noticel.com/la-calle/policiacas/top-stories/20230509/mujer-que-disparo-frente-a-negocio-de-la-calle-loiza-sera-imputada-de-tres-cargos/
2023-05-09 17:13:00,Pierluisi dice que hay falta de liderato en el PPD,CyberNews,Politica,Noticel,https://www.noticel.com/politica/ahora/pnp/ppd/20230509/pierluisi-dice-que-hay-falta-de-liderato-en-el-ppd/
2023-05-09 16:40:00,Cuelgan medida que flexibiliza restricciones a personas que se nieguen a dar prueba de vacunación,Naysha Zamira Padró,Legislatura,Noticel,https://www.noticel.com/legislatura/ahora/20230509/cuelgan-medida-que-flexibiliza-restricciones-a-personas-que-se-nieguen-a-dar-prueba-de-vacunacion/
2023-05-09 16:32:00,Hermanos turistas son arrastrados por corrientes en playa de Aguadilla,CyberNews,La-Calle,Noticel,https://www.noticel.com/la-calle/20230509/hermanos-turistas-son-arrastrados-por-corrientes-en-playa-de-aguadilla/
2023-05-09 16:12:00,"Pierluisi acepta que el asesinato de turistas afecta, pero dice que Puerto Rico es seguro",CyberNews,Gobierno,Noticel,https://www.noticel.com/gobierno/ahora/top-stories/20230509/pierluisi-acepta-que-el-asesinato-de-turistas-afecta-pero-dice-que-puerto-rico-es-seguro/
2023-05-09 16:10:00,Wapa Televisión anuncia una transformación en sus plataformas digitales,NotiCel,Pop,Noticel,https://www.noticel.com/pop/television/20230509/wapa-television-anuncia-una-transformacion-en-sus-plataformas-digitales/
2023-05-09 15:58:00,Presidente del PPD no concede petición de Luis Javier Hernández de paralizar recuento de votos,Leoncio Pineda Dattari,Ahora,Noticel,https://www.noticel.com/ahora/politica/top-stories/20230509/presidente-del-ppd-no-concede-peticion-de-luis-javier-hernandez-de-paralizar-recuento-de-votos/
2023-05-09 15:42:00,"El exponente urbano Conep lanza su nuevo sencillo ""Hola""",NotiCel,Pop,Noticel,https://www.noticel.com/pop/musica/20230509/el-exponente-urbano-conep-lanza-su-nuevo-sencillo-hola/
2023-05-09 15:34:00,PPD: Sin impugnaciones y con Ortiz a la cabeza concluye primera jornada de recuento de votos,Leoncio Pineda Dattari,Ahora,Noticel,https://www.noticel.com/ahora/ppd/politica/20230509/ppd-arranca-finalmente-el-recuento-de-votos/
2023-05-09 15:15:00,Cámara no concurre con enmiendas al Código Electoral,Naysha Zamira Padró,Legislatura,Noticel,https://www.noticel.com/legislatura/ahora/top-stories/20230509/camara-no-concurre-con-enmiendas-al-codigo-electoral/
2023-05-09 14:02:00,Selección boricua fogueará con Cuba antes del Mundial,EFE,Deportes,Noticel,https://www.noticel.com/deportes/20230509/seleccion-boricua-fogueara-con-cuba-antes-del-mundial/
2023-05-09 14:02:00,Laboratorios denuncian reducción retroactiva de tarifas por parte de aseguradoras,Antonio Gómez/ Especial para NotiCel,Ahora,Noticel,https://www.noticel.com/ahora/20230509/laboratorios-denuncian-reduccion-retroactiva-de-tarifas-por-parte-de-aseguradoras/
2023-05-09 13:53:00,Tirotean esta madrugada el edificio del Departamento de Agricultura,NotiCel,Policiacas,Noticel,https://www.noticel.com/policiacas/la-calle/top-stories/20230509/tirotean-esta-madrugada-el-edificio-del-departamento-de-agricultura/
2023-05-09 13:21:00,Arrestan al influencer Hasbulla Mogavedov,NotiCel,Mundo,Noticel,https://www.noticel.com/mundo/20230509/arrestan-al-influencer-hasbulla-mogavedov/
2023-05-09 12:58:00,Melania apoya que su marido vuelva a buscar la presidencia de Estados Unidos,EFE,Estados-Unidos,Noticel,https://www.noticel.com/estados-unidos/20230509/melania-apoya-que-su-marido-vuelva-a-buscar-la-presidencia-de-estados-unidos/
2023-05-09 12:42:00,Sentencian hombre que asesinó mujer en hotel de Ponce,NotiCel,Tribunales,Noticel,https://www.noticel.com/tribunales/ahora/20230509/sentencian-hombre-que-asesino-mujer-en-hotel-de-ponce/
2023-05-09 12:04:00,Despiden ancla de TeleOnce,NotiCel,Pop,Noticel,https://www.noticel.com/pop/20230509/despiden-ancla-de-teleonce/
2023-05-09 11:47:00,Advertencia por altos índices de calor en el área norte,CyberNews,El-Tiempo,Noticel,https://www.noticel.com/el-tiempo/20230509/advertencia-por-altos-indices-de-calor-en-el-area-norte/
2023-05-09 11:39:00,Estados Unidos aumentará la devolución de migrantes en los próximos días,EFE,Estados-Unidos,Noticel,https://www.noticel.com/estados-unidos/20230509/estados-unidos-aumentara-la-devolucion-de-migrantes-en-los-proximos-dias/
2023-05-09 11:31:00,De regreso a sus raíces la cantautora boricua Zayra Álvarez,NotiCel,Musica,Noticel,https://www.noticel.com/musica/pop/20230509/de-regreso-a-sus-raices-la-cantautora-boricua-zayra-alvarez/
2023-05-09 10:36:00,Messi pide calma y dice que no ha decidido su futuro,EFE,Deportes,Noticel,https://www.noticel.com/deportes/20230509/messi-pide-calma-y-dice-que-no-ha-decidido-su-futuro/
2023-05-09 10:27:00,Bomberos del DRNA viajan a Florida para ayudar en fuego forestal,NotiCel,Ahora,Noticel,https://www.noticel.com/ahora/20230509/bomberos-del-drna-viajan-a-florida-para-ayudar-en-fuego-forestal/
2023-05-09 10:17:00,Defensa de Dani Alves logra que un psicólogo evalúe a la joven que lo acusa de violación,EFE,Tribunales,Noticel,https://www.noticel.com/tribunales/ahora/deportes/20230509/defensa-de-dani-alves-logra-que-un-psicologo-evalue-a-la-joven-que-lo-acusa-de-violacion/
2023-05-09 10:01:00,Elecciones en el PPD: lento inicio del recuento,Leoncio Pineda Dattari,Politica,Noticel,https://www.noticel.com/politica/ahora/ppd/top-stories/20230509/elecciones-en-el-ppd-lento-inicio-del-recuento/
2023-05-09 09:51:00,Encuentran cadáver flotando en el agua del Puente Dos Hermanos,CyberNews,Policiacas,Noticel,https://www.noticel.com/policiacas/la-calle/20230509/encuentran-cadaver-flotando-en-el-agua-del-puente-dos-hermanos/
2023-05-09 09:14:00,Se incendia cuarto de un menor en Bayamón y este resulta herido,NotiCel,La-Calle,Noticel,https://www.noticel.com/la-calle/20230509/se-incendia-cuarto-de-un-menor-en-bayamon-y-este-resulta-herido/
2023-05-09 09:06:00,Detienen indocumentados en finca de Guayanilla,CyberNews,Policiacas,Noticel,https://www.noticel.com/policiacas/la-calle/20230509/detienen-indocumentados-en-finca-de-guayanilla/
2023-05-09 08:55:00,Mujer asesinada entró a colmado para pedir ayuda,NotiCel,Policiacas,Noticel,https://www.noticel.com/policiacas/la-calle/top-stories/20230509/mujer-asesinada-entro-a-colmado-para-pedir-ayuda/
2023-05-09 08:42:00,Equipo electoral de Jesús Manuel Ortiz asegura que prevaleció en la contienda por la presidencia,NotiCel,Ppd,Noticel,https://www.noticel.com/ppd/politica/ahora/top-stories/20230509/equipo-electoral-de-jesus-manuel-ortiz-asegura-que-prevalecio-en-la-contienda-por-la-presidencia/
2023-05-09 07:37:00,Así está el tránsito en la mañana del martes,CyberNews,Transito,Noticel,https://www.noticel.com/transito/la-calle/20230509/asi-esta-el-transito-en-la-manana-del-martes-13/
2023-05-09 07:27:00,A punto de eliminarse los Warriors,EFE,Nba,Noticel,https://www.noticel.com/nba/baloncesto/deportes/20230509/a-punto-de-eliminarse-los-warriors/
